DateTime,SpC_uScm,Flag_SpC_uScm,Turb_FNU,Flag_Turb_FNU
2025-03-13 21:00,725.0,P,,
2025-03-13 22:00,724.5,P,,
2025-03-13 23:00,725.25,P,,
2025-03-14 00:00,727.5,P,,
2025-03-14 01:00,730.75,P,,
2025-03-14 02:00,734.0,P,,
2025-03-14 03:00,737.0,P,,
2025-03-14 04:00,740.25,P,,
2025-03-14 05:00,743.5,P,,
2025-03-14 06:00,747.5,P,,
2025-03-14 07:00,750.75,P,,
2025-03-14 08:00,754.5,P,,
2025-03-14 09:00,758.5,P,,
2025-03-14 10:00,762.25,P,,
2025-03-14 11:00,765.0,P,,
2025-03-14 12:00,768.0,P,,
2025-03-14 13:00,770.25,P,,
2025-03-14 14:00,771.0,P,,
2025-03-14 15:00,770.0,P,,
2025-03-14 16:00,769.25,P,,
2025-03-14 17:00,768.75,P,,
2025-03-14 18:00,767.25,P,,
2025-03-14 19:00,764.25,P,,
2025-03-14 20:00,762.5,P,,
2025-03-14 21:00,763.0,P,,
2025-03-14 22:00,763.75,P,,
2025-03-14 23:00,763.0,P,,
2025-03-15 00:00,762.5,P,,
2025-03-15 01:00,764.5,P,,
2025-03-15 02:00,766.75,P,,
2025-03-15 03:00,769.25,P,,
2025-03-15 04:00,771.5,P,,
2025-03-15 05:00,773.75,P,,
2025-03-15 06:00,775.5,P,,
2025-03-15 07:00,777.25,P,,
2025-03-15 08:00,779.5,P,,
2025-03-15 09:00,780.75,P,,
2025-03-15 10:00,781.25,P,,
2025-03-15 11:00,781.75,P,,
2025-03-15 12:00,781.3333333333335,P,,
2025-03-15 13:00,781.5,P,,
2025-03-15 14:00,779.75,P,,
2025-03-15 15:00,777.25,P,,
2025-03-15 16:00,774.25,P,,
2025-03-15 17:00,769.5,P,,
2025-03-15 18:00,765.25,P,,
2025-03-15 19:00,761.25,P,,
2025-03-15 20:00,757.5,P,,
2025-03-15 21:00,754.25,P,,
2025-03-15 22:00,751.75,P,,
2025-03-15 23:00,750.25,P,,
2025-03-16 00:00,750.75,P,,
2025-03-16 01:00,752.75,P,,
2025-03-16 02:00,755.5,P,,
2025-03-16 03:00,758.25,P,,
2025-03-16 04:00,761.25,P,,
2025-03-16 05:00,764.5,P,,
2025-03-16 06:00,766.75,P,,
2025-03-16 07:00,768.25,P,,
2025-03-16 08:00,770.0,P,33.5,P
2025-03-16 09:00,771.0,P,,
2025-03-16 10:00,772.0,P,,
2025-03-16 11:00,772.0,P,,
2025-03-16 12:00,772.0,P,,
2025-03-16 13:00,772.0,P,,
2025-03-16 14:00,769.75,P,,
2025-03-16 15:00,767.0,P,,
2025-03-16 16:00,762.75,P,,
2025-03-16 17:00,758.5,P,,
2025-03-16 18:00,753.5,P,,
2025-03-16 19:00,747.75,P,,
2025-03-16 20:00,741.0,P,,
2025-03-16 21:00,734.5,P,,
2025-03-16 22:00,729.0,P,,
2025-03-16 23:00,726.25,P,,
2025-03-17 00:00,727.0,P,,
2025-03-17 01:00,731.5,P,,
2025-03-17 02:00,736.75,P,,
2025-03-17 03:00,743.25,P,,
2025-03-17 04:00,750.0,P,,
2025-03-17 05:00,756.75,P,,
2025-03-17 06:00,762.75,P,,
2025-03-17 07:00,768.0,P,,
2025-03-17 08:00,772.75,P,,
2025-03-17 09:00,778.0,P,,
2025-03-17 10:00,782.5,P,,
2025-03-17 11:00,786.25,P,,
2025-03-17 12:00,789.25,P,,
2025-03-17 13:00,790.75,P,,
2025-03-17 14:00,790.0,P,,
2025-03-17 15:00,786.5,P,,
2025-03-17 16:00,782.0,P,,
2025-03-17 17:00,775.25,P,,
2025-03-17 18:00,770.0,P,,
2025-03-17 19:00,763.5,P,,
2025-03-17 20:00,759.0,P,,
2025-03-17 21:00,754.25,P,,
2025-03-17 22:00,749.25,P,,
2025-03-17 23:00,744.25,P,,
2025-03-18 00:00,740.25,P,,
2025-03-18 01:00,734.25,P,,
2025-03-18 02:00,729.5,P,,
2025-03-18 03:00,729.75,P,,
2025-03-18 04:00,734.25,P,,
2025-03-18 05:00,740.25,P,,
2025-03-18 06:00,746.75,P,,
2025-03-18 07:00,751.5,P,,
2025-03-18 08:00,755.0,P,,
2025-03-18 09:00,757.75,P,,
2025-03-18 10:00,759.5,P,,
2025-03-18 11:00,761.25,P,,
2025-03-18 12:00,762.5,P,,
2025-03-18 13:00,763.0,P,,
2025-03-18 14:00,762.5,P,,
2025-03-18 15:00,759.75,P,,
2025-03-18 16:00,755.0,P,,
2025-03-18 17:00,748.0,P,,
2025-03-18 18:00,741.25,P,,
2025-03-18 19:00,733.0,P,,
2025-03-18 20:00,721.25,P,,
2025-03-18 21:00,707.3333333333335,P,52.8,P
2025-03-18 22:00,693.75,P,,
2025-03-18 23:00,680.0,P,,
2025-03-19 00:00,672.0,P,,
2025-03-19 01:00,671.25,P,,
2025-03-19 02:00,673.0,P,,
2025-03-19 03:00,676.5,P,,
2025-03-19 04:00,681.75,P,,
2025-03-19 05:00,687.5,P,,
2025-03-19 06:00,693.0,P,,
2025-03-19 07:00,696.5,P,,
2025-03-19 08:00,699.5,P,,
2025-03-19 09:00,702.75,P,,
2025-03-19 10:00,706.0,P,,
2025-03-19 11:00,708.25,P,,
2025-03-19 12:00,710.0,P,,
2025-03-19 13:00,711.0,P,,
2025-03-19 14:00,710.0,P,,
2025-03-19 15:00,707.75,P,,
2025-03-19 16:00,703.75,P,,
2025-03-19 17:00,698.5,P,,
2025-03-19 18:00,693.25,P,,
2025-03-19 19:00,684.0,P,68.7,P
2025-03-19 20:00,682.3333333333334,P,71.0,P
2025-03-19 21:00,678.5,P,,
2025-03-19 22:00,675.0,P,69.3,P
2025-03-19 23:00,673.5,P,,
2025-03-20 00:00,672.5,P,67.65,P
2025-03-20 01:00,673.0,P,64.85,P
2025-03-20 02:00,673.6666666666666,P,63.0,P
2025-03-20 03:00,675.6666666666666,P,,
2025-03-20 04:00,680.0,P,58.2,P
2025-03-20 05:00,685.25,P,,
2025-03-20 06:00,691.0,P,,
2025-03-20 07:00,696.75,P,,
2025-03-20 08:00,702.5,P,,
2025-03-20 09:00,707.5,P,,
2025-03-20 10:00,711.5,P,,
2025-03-20 11:00,714.0,P,,
2025-03-20 12:00,715.0,P,,
2025-03-20 13:00,714.25,P,,
2025-03-20 14:00,710.5,P,,
2025-03-20 15:00,704.75,P,,
2025-03-20 16:00,698.3333333333335,P,40.2,P
2025-03-20 17:00,688.5,P,,
2025-03-20 18:00,680.75,P,,
2025-03-20 19:00,674.0,P,,
2025-03-20 20:00,668.75,P,,
2025-03-20 21:00,663.5,P,,
2025-03-20 22:00,658.5,P,,
2025-03-20 23:00,655.0,P,,
2025-03-21 00:00,652.5,P,,
2025-03-21 01:00,652.25,P,,
2025-03-21 02:00,653.5,P,,
2025-03-21 03:00,655.6666666666666,P,45.0,P
2025-03-21 04:00,658.0,P,,
2025-03-21 05:00,661.0,P,,
2025-03-21 06:00,663.0,P,,
2025-03-21 07:00,666.5,P,,
2025-03-21 08:00,670.25,P,,
2025-03-21 09:00,674.5,P,,
2025-03-21 10:00,678.5,P,,
2025-03-21 11:00,681.25,P,,
2025-03-21 12:00,683.25,P,,
2025-03-21 13:00,684.75,P,,
2025-03-21 14:00,684.25,P,,
2025-03-21 15:00,684.0,P,,
2025-03-21 16:00,682.0,P,41.8,P
2025-03-21 17:00,680.3333333333334,P,41.9,P
2025-03-21 18:00,676.0,P,,
2025-03-21 19:00,673.0,P,,
2025-03-21 20:00,670.6666666666666,P,42.6,P
2025-03-21 21:00,668.25,P,,
2025-03-21 22:00,665.5,P,,
2025-03-21 23:00,662.25,P,,
2025-03-22 00:00,661.0,P,,
2025-03-22 01:00,661.5,P,,
2025-03-22 02:00,662.75,P,,
2025-03-22 03:00,663.75,P,,
2025-03-22 04:00,665.0,P,,
2025-03-22 05:00,666.0,P,,
2025-03-22 06:00,667.0,P,,
2025-03-22 07:00,668.0,P,,
2025-03-22 08:00,669.5,P,,
2025-03-22 09:00,670.5,P,,
2025-03-22 10:00,672.25,P,,
2025-03-22 11:00,673.5,P,,
2025-03-22 12:00,674.0,P,,
2025-03-22 13:00,674.0,P,,
2025-03-22 14:00,673.75,P,,
2025-03-22 15:00,671.75,P,,
2025-03-22 16:00,669.25,P,,
2025-03-22 17:00,667.0,P,,
2025-03-22 18:00,665.0,P,,
2025-03-22 19:00,663.0,P,,
2025-03-22 20:00,661.75,P,,
2025-03-22 21:00,660.5,P,,
2025-03-22 22:00,661.75,P,,
2025-03-22 23:00,664.5,P,,
2025-03-23 00:00,666.75,P,,
2025-03-23 01:00,669.0,P,,
2025-03-23 02:00,671.5,P,,
2025-03-23 03:00,674.0,P,,
2025-03-23 04:00,677.5,P,,
2025-03-23 05:00,681.25,P,,
2025-03-23 06:00,684.5,P,,
2025-03-23 07:00,688.5,P,,
2025-03-23 08:00,692.5,P,,
2025-03-23 09:00,696.25,P,,
2025-03-23 10:00,699.25,P,,
2025-03-23 11:00,701.75,P,,
2025-03-23 12:00,702.75,P,,
2025-03-23 13:00,702.0,P,,
2025-03-23 14:00,700.3333333333335,P,,
2025-03-23 15:00,697.5,P,,
2025-03-23 16:00,695.25,P,,
2025-03-23 17:00,692.5,P,,
2025-03-23 18:00,689.0,P,,
2025-03-23 19:00,687.3333333333335,P,62.9,P
2025-03-23 20:00,687.25,P,,
2025-03-23 21:00,687.6666666666665,P,63.1,P
2025-03-23 22:00,688.75,P,,
2025-03-23 23:00,689.0,P,,
2025-03-24 00:00,690.0,P,64.3,P
2025-03-24 01:00,690.0,P,65.3,P
2025-03-24 02:00,689.3333333333335,P,65.6,P
2025-03-24 03:00,688.75,P,,
2025-03-24 04:00,687.75,P,,
2025-03-24 05:00,686.75,P,,
2025-03-24 06:00,685.5,P,,
2025-03-24 07:00,684.0,P,,
2025-03-24 08:00,682.75,P,,
2025-03-24 09:00,681.25,P,,
2025-03-24 10:00,680.25,P,,
2025-03-24 11:00,679.5,P,,
2025-03-24 12:00,678.25,P,,
2025-03-24 13:00,677.25,P,,
2025-03-24 14:00,675.75,P,,
2025-03-24 15:00,673.5,P,,
2025-03-24 16:00,671.5,P,,
2025-03-24 17:00,669.25,P,,
2025-03-24 18:00,667.0,P,,
2025-03-24 19:00,664.75,P,,
2025-03-24 20:00,663.3333333333334,P,61.6,P
2025-03-24 21:00,662.0,P,,
2025-03-24 22:00,661.6666666666666,P,63.3,P
2025-03-24 23:00,662.0,P,,
2025-03-25 00:00,661.0,P,,
2025-03-25 01:00,660.25,P,,
2025-03-25 02:00,660.0,P,,
2025-03-25 03:00,660.0,P,,
2025-03-25 04:00,658.75,P,,
2025-03-25 05:00,658.25,P,,
2025-03-25 06:00,659.5,P,,
2025-03-25 07:00,662.5,P,,
2025-03-25 08:00,665.5,P,,
2025-03-25 09:00,667.75,P,,
2025-03-25 10:00,669.0,P,,
2025-03-25 11:00,669.0,P,,
2025-03-25 12:00,669.0,P,,
2025-03-25 13:00,668.5,P,,
2025-03-25 14:00,667.25,P,,
2025-03-25 15:00,665.0,P,,
2025-03-25 16:00,662.5,P,,
2025-03-25 17:00,659.75,P,,
2025-03-25 18:00,657.25,P,,
2025-03-25 19:00,654.75,P,,
2025-03-25 20:00,652.75,P,,
2025-03-25 21:00,651.0,P,,
2025-03-25 22:00,649.0,P,,
2025-03-25 23:00,647.5,P,,
2025-03-26 00:00,646.75,P,,
2025-03-26 01:00,646.25,P,,
2025-03-26 02:00,646.75,P,,
2025-03-26 03:00,647.3333333333334,P,61.0,P
2025-03-26 04:00,648.5,P,,
2025-03-26 05:00,650.0,P,,
2025-03-26 06:00,653.0,P,,
2025-03-26 07:00,656.0,P,,
2025-03-26 08:00,658.75,P,,
2025-03-26 09:00,660.5,P,,
2025-03-26 10:00,661.5,P,,
2025-03-26 11:00,662.75,P,,
2025-03-26 12:00,663.0,P,,
2025-03-26 13:00,664.0,P,,
2025-03-26 14:00,664.0,P,,
2025-03-26 15:00,662.75,P,,
2025-03-26 16:00,661.0,P,,
2025-03-26 17:00,658.0,P,,
2025-03-26 18:00,655.5,P,,
2025-03-26 19:00,653.25,P,,
2025-03-26 20:00,650.5,P,,
2025-03-26 21:00,648.25,P,,
2025-03-26 22:00,646.75,P,,
2025-03-26 23:00,645.75,P,,
2025-03-27 00:00,644.5,P,,
2025-03-27 01:00,643.0,P,,
2025-03-27 02:00,642.0,P,,
2025-03-27 03:00,642.0,P,,
2025-03-27 04:00,642.75,P,,
2025-03-27 05:00,643.5,P,,
2025-03-27 06:00,644.75,P,,
2025-03-27 07:00,646.25,P,,
2025-03-27 08:00,648.25,P,,
2025-03-27 09:00,649.5,P,,
2025-03-27 10:00,650.75,P,,
2025-03-27 11:00,652.75,P,,
2025-03-27 12:00,654.0,P,,
2025-03-27 13:00,654.25,P,,
2025-03-27 14:00,652.75,P,,
2025-03-27 15:00,650.75,P,,
2025-03-27 16:00,649.0,P,,
2025-03-27 17:00,648.25,P,,
2025-03-27 18:00,647.75,P,,
2025-03-27 19:00,647.75,P,,
2025-03-27 20:00,647.0,P,,
2025-03-27 21:00,647.5,P,,
2025-03-27 22:00,649.5,P,,
2025-03-27 23:00,651.25,P,,
2025-03-28 00:00,652.0,P,,
2025-03-28 01:00,652.5,P,,
2025-03-28 02:00,653.75,P,,
2025-03-28 03:00,655.0,P,,
2025-03-28 04:00,656.5,P,,
2025-03-28 05:00,657.75,P,,
2025-03-28 06:00,658.75,P,,
2025-03-28 07:00,660.0,P,,
2025-03-28 08:00,661.0,P,,
2025-03-28 09:00,661.5,P,,
2025-03-28 10:00,661.25,P,,
2025-03-28 11:00,660.5,P,,
2025-03-28 12:00,660.0,P,,
2025-03-28 13:00,661.0,P,,
2025-03-28 14:00,661.0,P,,
2025-03-28 15:00,662.0,P,,
2025-03-28 16:00,662.75,P,,
2025-03-28 17:00,664.25,P,,
2025-03-28 18:00,665.5,P,,
2025-03-28 19:00,667.5,P,,
2025-03-28 20:00,669.0,P,,
2025-03-28 21:00,671.0,P,,
2025-03-28 22:00,672.5,P,,
2025-03-28 23:00,673.0,P,,
2025-03-29 00:00,674.0,P,,
2025-03-29 01:00,674.0,P,,
2025-03-29 02:00,674.0,P,,
2025-03-29 03:00,672.75,P,,
2025-03-29 04:00,671.0,P,,
2025-03-29 05:00,668.75,P,,
2025-03-29 06:00,666.5,P,,
2025-03-29 07:00,664.0,P,,
2025-03-29 08:00,661.5,P,,
