DateTime,WTemp_C,Flag_WTemp_C,SpC_uScm,Flag_SpC_uScm,NO3_mgNL,Flag_NO3_mgNL
2014-04-01 06:00,,,,,6.81,A
2014-04-01 07:00,,,,,6.675,A
2014-04-01 08:00,,,,,6.5975,A
2014-04-01 09:00,,,,,6.6099999999999985,A
2014-04-01 10:00,,,,,6.6800000000000015,A
2014-04-01 11:00,,,,,6.7025,A
2014-04-01 12:00,,,,,6.6525,A
2014-04-01 13:00,,,,,6.647499999999999,A
2014-04-01 14:00,,,,,6.66,A
2014-04-01 15:00,,,,,6.71,A
2014-04-01 16:00,,,,,6.6675,A
2014-04-01 17:00,,,,,6.5725,A
2014-04-01 18:00,,,,,6.4625,A
2014-04-01 19:00,,,,,6.3925,A
2014-04-01 20:00,,,,,6.4325,A
2014-04-01 21:00,,,,,6.4025,A
2014-04-01 22:00,,,,,6.3175,A
2014-04-01 23:00,,,,,6.295,A
2014-04-02 00:00,,,,,6.26,A
2014-04-02 01:00,,,,,6.2,A
2014-04-02 02:00,,,,,6.102499999999999,A
2014-04-02 03:00,,,,,6.032499999999999,A
2014-04-02 04:00,,,,,5.9575000000000005,A
2014-04-02 05:00,,,,,5.9275,A
2014-04-02 06:00,,,,,5.9350000000000005,A
2014-04-02 07:00,,,,,5.9075,A
2014-04-02 08:00,,,,,5.960000000000001,A
2014-04-02 09:00,,,,,5.965,A
2014-04-02 10:00,,,,,5.96,A
2014-04-02 11:00,,,,,5.975,A
2014-04-02 12:00,,,,,6.0025,A
2014-04-02 13:00,,,,,5.9825,A
2014-04-02 14:00,,,,,5.97,A
2014-04-02 15:00,,,,,5.9750000000000005,A
2014-04-02 16:00,,,,,5.9825,A
2014-04-02 17:00,,,,,5.9425,A
2014-04-02 18:00,,,,,5.942500000000001,A
2014-04-02 19:00,,,,,5.9525000000000015,A
2014-04-02 20:00,,,,,5.9525000000000015,A
2014-04-02 21:00,,,,,5.9575000000000005,A
2014-04-02 22:00,,,,,5.955,A
2014-04-02 23:00,,,,,5.98,A
2014-04-03 00:00,,,,,5.97,A
2014-04-03 01:00,,,,,5.9425,A
2014-04-03 02:00,,,,,5.8925,A
2014-04-03 03:00,,,,,5.8775,A
