DateTime,NO3_mgNL,Flag_NO3_mgNL
2013-06-14 05:00,31.2,A
2013-06-14 06:00,31.25,A
2013-06-14 07:00,31.3,A
2013-06-14 08:00,31.3,A
2013-06-14 09:00,31.3,A
2013-06-14 10:00,31.3,A
2013-06-14 11:00,31.3,A
2013-06-14 12:00,31.15,A
2013-06-14 13:00,31.2,A
2013-06-14 14:00,31.25,A
2013-06-14 15:00,31.3,A
2013-06-14 16:00,31.3,A
2013-06-14 17:00,31.3,A
2013-06-14 18:00,31.3,A
2013-06-14 19:00,31.3,A
2013-06-14 20:00,31.3,A
2013-06-14 21:00,31.3,A
2013-06-14 22:00,31.225,A
2013-06-14 23:00,31.075000000000006,A
2013-06-15 00:00,31.025,A
2013-06-15 01:00,31.0,A
2013-06-15 02:00,31.05,A
2013-06-15 03:00,31.15,A
2013-06-15 04:00,30.975,A
2013-06-15 05:00,30.65,A
2013-06-15 06:00,30.375,A
2013-06-15 07:00,30.3,A
2013-06-15 08:00,30.3,A
2013-06-15 09:00,30.175,A
2013-06-15 10:00,29.95,A
2013-06-15 11:00,29.725,A
2013-06-15 12:00,29.6,A
2013-06-15 13:00,29.6,A
2013-06-15 14:00,29.6,A
2013-06-15 15:00,29.425,A
2013-06-15 16:00,29.15,A
2013-06-15 17:00,28.9,A
2013-06-15 18:00,28.975,A
2013-06-15 19:00,28.925,A
2013-06-15 20:00,28.875,A
2013-06-15 21:00,29.275,A
2013-06-15 22:00,29.575000000000006,A
2013-06-15 23:00,29.6,A
2013-06-16 00:00,29.5,A
2013-06-16 01:00,29.5,A
2013-06-16 02:00,29.6,A
2013-06-16 03:00,29.875,A
2013-06-16 04:00,30.15,A
2013-06-16 05:00,30.325000000000006,A
2013-06-16 06:00,30.525,A
2013-06-16 07:00,30.675,A
2013-06-16 08:00,30.8,A
2013-06-16 09:00,30.95,A
2013-06-16 10:00,31.0,A
2013-06-16 11:00,31.125000000000004,A
2013-06-16 12:00,31.2,A
2013-06-16 13:00,31.275,A
2013-06-16 14:00,31.325000000000006,A
2013-06-16 15:00,31.425,A
2013-06-16 16:00,31.5,A
2013-06-16 17:00,31.55,A
2013-06-16 18:00,31.675,A
2013-06-16 19:00,31.75,A
2013-06-16 20:00,31.8,A
2013-06-16 21:00,31.8,A
2013-06-16 22:00,31.85,A
2013-06-16 23:00,31.9,A
2013-06-17 00:00,31.925,A
2013-06-17 01:00,32.0,A
2013-06-17 02:00,31.975,A
2013-06-17 03:00,32.0,A
2013-06-17 04:00,32.0,A
2013-06-17 05:00,32.0,A
2013-06-17 06:00,32.0,A
2013-06-17 07:00,32.0,A
2013-06-17 08:00,32.0,A
2013-06-17 09:00,32.0,A
2013-06-17 10:00,32.0,A
2013-06-17 11:00,32.05,A
2013-06-17 12:00,32.1,A
2013-06-17 13:00,32.1,A
2013-06-17 14:00,32.2,A
2013-06-17 15:00,32.2,A
2013-06-17 16:00,32.2,A
2013-06-17 17:00,32.225,A
2013-06-17 18:00,32.3,A
2013-06-17 19:00,32.3,A
2013-06-17 20:00,32.3,A
2013-06-17 21:00,32.3,A
2013-06-17 22:00,32.325,A
2013-06-17 23:00,32.35,A
2013-06-18 00:00,32.375,A
2013-06-18 01:00,32.349999999999994,A
2013-06-18 02:00,32.3,A
2013-06-18 03:00,32.3,A
2013-06-18 04:00,32.275,A
2013-06-18 05:00,32.225,A
2013-06-18 06:00,32.2,A
2013-06-18 07:00,32.2,A
2013-06-18 08:00,32.2,A
2013-06-18 09:00,32.2,A
2013-06-18 10:00,32.2,A
2013-06-18 11:00,32.2,A
2013-06-18 12:00,32.2,A
2013-06-18 13:00,32.2,A
2013-06-18 14:00,32.2,A
2013-06-18 15:00,32.2,A
2013-06-18 16:00,32.225,A
2013-06-18 17:00,32.225,A
2013-06-18 18:00,32.275,A
2013-06-18 19:00,32.3,A
2013-06-18 20:00,32.3,A
2013-06-18 21:00,32.3,A
2013-06-18 22:00,32.3,A
2013-06-18 23:00,32.3,A
2013-06-19 00:00,32.3,A
2013-06-19 01:00,32.3,A
2013-06-19 02:00,32.25,A
2013-06-19 03:00,32.225,A
2013-06-19 04:00,32.2,A
2013-06-19 05:00,32.2,A
2013-06-19 06:00,32.2,A
2013-06-19 07:00,32.2,A
2013-06-19 08:00,32.1,A
2013-06-19 09:00,32.1,A
2013-06-19 10:00,32.05,A
2013-06-19 11:00,32.025,A
2013-06-19 12:00,32.05,A
2013-06-19 13:00,32.1,A
2013-06-19 14:00,32.1,A
2013-06-19 15:00,32.1,A
2013-06-19 16:00,32.1,A
2013-06-19 17:00,32.1,A
2013-06-19 18:00,32.1,A
2013-06-19 19:00,32.175000000000004,A
2013-06-19 20:00,32.2,A
2013-06-19 21:00,32.2,A
2013-06-19 22:00,32.2,A
2013-06-19 23:00,32.2,A
2013-06-20 00:00,32.2,A
2013-06-20 01:00,32.2,A
2013-06-20 02:00,32.2,A
2013-06-20 03:00,32.2,A
2013-06-20 04:00,32.2,A
2013-06-20 05:00,32.1,A
2013-06-20 06:00,32.025,A
2013-06-20 07:00,32.0,A
2013-06-20 08:00,31.975,A
2013-06-20 09:00,31.9,A
2013-06-20 10:00,31.9,A
2013-06-20 11:00,31.9,A
2013-06-20 12:00,31.9,A
2013-06-20 13:00,31.9,A
2013-06-20 14:00,31.975,A
2013-06-20 15:00,31.950000000000006,A
2013-06-20 16:00,32.0,A
2013-06-20 17:00,32.0,A
2013-06-20 18:00,32.0,A
2013-06-20 19:00,32.0,A
2013-06-20 20:00,32.0,A
2013-06-20 21:00,32.05,A
2013-06-20 22:00,32.05,A
2013-06-20 23:00,32.025,A
2013-06-21 00:00,32.05,A
2013-06-21 01:00,32.075,A
2013-06-21 02:00,32.0,A
2013-06-21 03:00,32.0,A
2013-06-21 04:00,32.0,A
2013-06-21 05:00,31.9,A
2013-06-21 06:00,31.9,A
2013-06-21 07:00,31.9,A
2013-06-21 08:00,31.8,A
2013-06-21 09:00,31.775,A
2013-06-21 10:00,31.7,A
2013-06-21 11:00,31.7,A
2013-06-21 12:00,31.7,A
2013-06-21 13:00,31.7,A
2013-06-21 14:00,31.675,A
2013-06-21 15:00,31.65,A
2013-06-21 16:00,31.7,A
2013-06-21 17:00,31.675,A
2013-06-21 18:00,31.7,A
2013-06-21 19:00,31.7,A
2013-06-21 20:00,31.7,A
2013-06-21 21:00,31.7,A
2013-06-21 22:00,31.7,A
2013-06-21 23:00,31.725,A
2013-06-22 00:00,31.7,A
2013-06-22 01:00,31.7,A
2013-06-22 02:00,31.7,A
2013-06-22 03:00,31.7,A
2013-06-22 04:00,31.7,A
2013-06-22 05:00,31.7,A
2013-06-22 06:00,31.65,A
2013-06-22 07:00,31.6,A
2013-06-22 08:00,31.6,A
2013-06-22 09:00,31.575000000000006,A
2013-06-22 10:00,31.5,A
2013-06-22 11:00,31.5,A
2013-06-22 12:00,31.4,A
2013-06-22 13:00,31.4,A
2013-06-22 14:00,31.4,A
2013-06-22 15:00,31.4,A
2013-06-22 16:00,31.4,A
2013-06-22 17:00,31.4,A
2013-06-22 18:00,31.4,A
2013-06-22 19:00,31.425,A
2013-06-22 20:00,31.5,A
2013-06-22 21:00,31.5,A
2013-06-22 22:00,31.525,A
