DateTime,Chla_ugL,Flag_Chla_ugL,PC_RFU,Flag_PC_RFU
2020-07-15 15:00,0.0,A,,
2020-07-15 16:00,0.225,A,,
2020-07-15 17:00,0.175,A,,
2020-07-15 18:00,0.1999999999999999,A,,
2020-07-15 19:00,0.2,A,,
2020-07-15 20:00,0.2249999999999999,A,,
2020-07-15 21:00,0.1,A,,
2020-07-15 22:00,0.125,A,,
2020-07-15 23:00,0.15,A,,
2020-07-16 00:00,0.25,A,,
2020-07-16 01:00,0.175,A,,
2020-07-16 02:00,0.175,A,,
2020-07-16 03:00,0.075,A,,
2020-07-16 04:00,0.175,A,,
2020-07-16 05:00,0.075,A,,
2020-07-16 06:00,0.25,A,,
2020-07-16 07:00,0.15,A,,
2020-07-16 08:00,0.075,A,,
2020-07-16 09:00,0.15,A,,
2020-07-16 10:00,0.25,A,,
2020-07-16 11:00,0.16,A,,
2020-07-16 12:00,0.235,A,,
2020-07-16 13:00,0.035,A,,
2020-07-16 14:00,0.185,A,,
2020-07-16 15:00,0.285,A,,
2020-07-16 16:00,0.16,A,,
2020-07-16 17:00,0.26,A,,
2020-07-16 18:00,0.11,A,,
2020-07-16 19:00,0.235,A,,
2020-07-16 20:00,0.21,A,,
2020-07-16 21:00,0.1349999999999999,A,,
2020-07-16 22:00,0.185,A,,
2020-07-16 23:00,0.135,A,,
2020-07-17 00:00,0.21,A,,
2020-07-17 01:00,0.06,A,,
2020-07-17 02:00,0.1433333333333333,A,0.0,A
2020-07-17 03:00,0.16,A,,
2020-07-17 04:00,0.2433333333333333,A,0.0,A
2020-07-17 05:00,0.285,A,,
2020-07-17 06:00,0.235,A,,
2020-07-17 07:00,0.21,A,,
2020-07-17 08:00,0.16,A,,
2020-07-17 09:00,0.185,A,,
2020-07-17 10:00,0.185,A,,
2020-07-17 11:00,0.06,A,,
2020-07-17 12:00,0.26,A,,
2020-07-17 13:00,0.21,A,,
2020-07-17 14:00,0.185,A,,
2020-07-17 15:00,0.235,A,,
2020-07-17 16:00,0.0849999999999999,A,,
2020-07-17 17:00,0.16,A,,
2020-07-17 18:00,-0.0566666666666666,A,-0.1,A
2020-07-17 19:00,0.035,A,,
2020-07-17 20:00,0.0849999999999999,A,,
2020-07-17 21:00,0.0099999999999999,A,,
2020-07-17 22:00,0.0849999999999999,A,,
2020-07-17 23:00,0.0849999999999999,A,,
2020-07-18 00:00,0.1375,A,,
2020-07-18 01:00,0.045,A,,
2020-07-18 02:00,0.0699999999999999,A,,
2020-07-18 03:00,0.195,A,,
2020-07-18 04:00,0.1699999999999999,A,,
2020-07-18 05:00,0.02,A,,
2020-07-18 06:00,0.045,A,,
2020-07-18 07:00,0.145,A,,
2020-07-18 08:00,0.045,A,,
2020-07-18 09:00,0.07,A,,
2020-07-18 10:00,0.1699999999999999,A,,
2020-07-18 11:00,0.245,A,,
2020-07-18 12:00,0.1699999999999999,A,,
2020-07-18 13:00,0.0866666666666666,A,0.0,A
2020-07-18 14:00,0.145,A,,
2020-07-18 15:00,0.1533333333333333,A,0.0,A
2020-07-18 16:00,0.17,A,,
2020-07-18 17:00,0.195,A,,
2020-07-18 18:00,0.12,A,,
