STREAM_ID,sourceID,source,site name,latitude_wgs84,longitude_wgs84,drainagearea_sqkm,state_name,time_zone,WQ_parameters
STREAM-gauge-1723,03007800,USGS,"Allegheny River at Port Allegany, PA",41.818676,-78.292791,642.3175200000002,Pennsylvania,Eastern,"WTemp_C,SpC_uScm,DO_mgL,pH"
STREAM-gauge-2691,03011020,USGS,ALLEGHENY RIVER AT SALAMANCA NY,42.156833,-78.715556,4164.70392,New York,Eastern,WTemp_C
STREAM-gauge-1724,03012545,USGS,"Allegheny River below Kinzua Dam at Big Bend, PA",41.838672,-79.004925,5646.1782,Pennsylvania,Eastern,"WTemp_C,DO_mgL"
STREAM-gauge-1725,03012550,USGS,"Allegheny River at Kinzua Dam, PA",41.841449,-79.011985,5646.1782,Pennsylvania,Eastern,"WTemp_C,DO_mgL"
STREAM-gauge-1726,03016000,USGS,"Allegheny River at West Hickory, PA",41.570895,-79.407824,9479.3634,Pennsylvania,Eastern,"WTemp_C,SpC_uScm"
STREAM-gauge-1727,03017500,USGS,"Tionesta Creek at Lynch, PA",41.602006,-79.050039,603.46767,Pennsylvania,Eastern,WTemp_C
STREAM-gauge-1728,03020000,USGS,"Tionesta Creek at Tionesta Creek Dam, PA",41.47784,-79.443935,1240.60521,Pennsylvania,Eastern,WTemp_C
STREAM-gauge-1729,03021890,USGS,"French Creek at Cambridge Springs, PA",41.807167,-80.063278,1331.25486,Pennsylvania,Eastern,WTemp_C
STREAM-gauge-1730,03022540,USGS,"Woodcock Creek at Blooming Valley, PA",41.690612,-80.048112,80.548689,Pennsylvania,Eastern,WTemp_C
STREAM-gauge-1731,03022554,USGS,"Woodcock Creek at Woodcock Creek Dam, PA",41.695889,-80.108113,118.103544,Pennsylvania,Eastern,WTemp_C
STREAM-gauge-1732,03026480,USGS,"East Branch Clarion River near Clermont, PA",41.644056,-78.531444,21.5487168,Pennsylvania,Eastern,WTemp_C
STREAM-gauge-1733,03027500,USGS,"EB Clarion River at EB Clarion River Dam, PA",41.553118,-78.596135,189.587268,Pennsylvania,Eastern,"WTemp_C,SpC_uScm,DO_mgL,pH,Turb_FNU"
STREAM-gauge-1734,03028000,USGS,"West Branch Clarion River at Wilcox, PA",41.57534,-78.692249,163.16937,Pennsylvania,Eastern,WTemp_C
STREAM-gauge-1735,03028500,USGS,"Clarion River at Johnsonburg, PA",41.486173,-78.67836,528.3579599999998,Pennsylvania,Eastern,WTemp_C
STREAM-gauge-1736,03034000,USGS,"Mahoning Creek at Punxsutawney, PA",40.939231,-79.008367,409.21842,Pennsylvania,Eastern,"WTemp_C,SpC_uScm,DO_mgL,pH"
STREAM-gauge-1737,03034500,USGS,"Little Mahoning Creek at McCormick, PA",40.836176,-79.110036,226.365126,Pennsylvania,Eastern,WTemp_C
STREAM-gauge-1738,03036000,USGS,"Mahoning Creek at Mahoning Creek Dam, PA",40.927565,-79.291151,890.95656,Pennsylvania,Eastern,"WTemp_C,SpC_uScm,DO_mgL,pH"
STREAM-gauge-1739,03038000,USGS,"Crooked Creek at Idaho, PA",40.654788,-79.348651,494.6880900000001,Pennsylvania,Eastern,WTemp_C
STREAM-gauge-1740,03039000,USGS,Crooked Creek at Crooked Creek Dam near Ford City,40.720342,-79.511433,720.0172200000002,Pennsylvania,Eastern,WTemp_C
STREAM-gauge-1741,03039035,USGS,"Allegheny River at Lock & Dam 6 at Clinton, PA",40.716667,-79.581111,24174.96666,Pennsylvania,Eastern,"WTemp_C,DO_mgL"
STREAM-gauge-1742,03039036,USGS,"Allegheny River below Lock & Dam 6 at Clinton, PA",40.715,-79.581111,24146.47677,Pennsylvania,Eastern,"WTemp_C,DO_mgL"
STREAM-gauge-1743,03039040,USGS,"Allegheny River at Lock & Dam 5 near Freeport, PA",40.684722,-79.6675,24226.76646,Pennsylvania,Eastern,"WTemp_C,SpC_uScm"
STREAM-gauge-1744,03039041,USGS,"Allegheny River bl Lock & Dam 5 near Freeport, PA",40.685556,-79.668611,24190.5066,Pennsylvania,Eastern,"WTemp_C,SpC_uScm,DO_mgL"
STREAM-gauge-1745,03041500,USGS,"Conemaugh River at Seward, PA",40.419238,-79.02614,1851.84285,Pennsylvania,Eastern,WTemp_C
STREAM-gauge-1746,03042000,USGS,"Blacklick Creek at Josephine, PA",40.477013,-79.186701,499.8680700000001,Pennsylvania,Eastern,WTemp_C
STREAM-gauge-1747,03043810,USGS,"Conemaugh River below Conemaugh Dam, PA",40.467567,-79.367261,3506.84646,Pennsylvania,Eastern,"WTemp_C,SpC_uScm,pH"
STREAM-gauge-1748,03044000,USGS,"Conemaugh River at Tunnelton, PA",40.454512,-79.390872,3517.2064200000004,Pennsylvania,Eastern,"WTemp_C,SpC_uScm"
STREAM-gauge-1749,03045010,USGS,"Loyalhanna Creek at Latrobe, PA",40.316111,-79.390833,541.30791,Pennsylvania,Eastern,WTemp_C
